"pars" "rmse" "lambdas_df" "gamma_df" "mtry_df" "dataset" "model" "good" "bad"
"1" 103 0.517499271300889 0.1 0.001 15 1 "boosted_rf" 0.641791044776119 0.777777777777778
"2" 102 0.512984360195529 0.1 0.2505 15 1 "boosted_rf" 0.672413793103448 0.955555555555556
"3" 100 0.504787799221397 0.1 0.5 15 1 "boosted_rf" 0.660714285714286 0.955555555555556
"4" 99 0.508473625216936 0.1 0.7495 15 1 "boosted_rf" 0.709090909090909 0.955555555555556
"5" 99 0.511508543225057 0.1 0.999 15 1 "boosted_rf" 0.745454545454545 0.955555555555556
"6" 110 0.521116082853708 0.3 0.001 15 1 "boosted_rf" 0.638888888888889 0.822222222222222
"7" 105 0.51112161374811 0.3 0.2505 15 1 "boosted_rf" 0.661290322580645 0.933333333333333
"8" 103 0.506559816332738 0.3 0.5 15 1 "boosted_rf" 0.745762711864407 0.955555555555556
"9" 100 0.501150758681948 0.3 0.7495 15 1 "boosted_rf" 0.696428571428571 0.955555555555556
"10" 101 0.513393987466264 0.3 0.999 15 1 "boosted_rf" 0.719298245614035 0.955555555555556
"11" 135 0.509149593421228 0.5 0.001 15 1 "boosted_rf" 0.679611650485437 0.688888888888889
"12" 116 0.516547700933906 0.5 0.2505 15 1 "boosted_rf" 0.694444444444444 0.955555555555556
"13" 103 0.511105747434045 0.5 0.5 15 1 "boosted_rf" 0.716666666666667 0.933333333333333
"14" 102 0.508325401495887 0.5 0.7495 15 1 "boosted_rf" 0.706896551724138 0.955555555555556
"15" 96 0.517162410284113 0.5 0.999 15 1 "boosted_rf" 0.75 0.955555555555556
"16" 192 0.52062081524407 0.7 0.001 15 1 "boosted_rf" 0.617834394904459 0.755555555555556
"17" 153 0.525873575567482 0.7 0.2505 15 1 "boosted_rf" 0.572727272727273 0.933333333333333
"18" 111 0.507575428294806 0.7 0.5 15 1 "boosted_rf" 0.671641791044776 0.955555555555556
"19" 99 0.523031676493794 0.7 0.7495 15 1 "boosted_rf" 0.763636363636364 0.955555555555556
